"11823: Registered vehicles, by contents, type of fuel and year"

"contents";"type of fuel";"year";"11823: Registered vehicles,"
"Buses";"Diesel hybrid, chargeable";"2019";64
"Buses";"Diesel hybrid, non-chargeable";"2016";54
"Buses";"Diesel hybrid, non-chargeable";"2017";63
"Buses";"Diesel hybrid, non-chargeable";"2018";151
"Buses";"Diesel hybrid, non-chargeable";"2019";154
"Buses";"Other fuel";"2016";1
"Buses";"Other fuel";"2017";1
"Buses";"Other fuel";"2018";0
"Buses";"Other fuel";"2019";0
"Vans";"Petrol";"2016";29463
"Vans";"Petrol";"2017";26814
"Vans";"Petrol";"2018";24765
"Vans";"Petrol";"2019";23599
"Vans";"Diesel";"2016";429013
"Vans";"Diesel";"2017";440051
"Vans";"Diesel";"2018";446237
"Vans";"Diesel";"2019";457871
"Vans";"Paraffin";"2016";3
"Vans";"Paraffin";"2017";3
"Vans";"Paraffin";"2018";4
"Vans";"Paraffin";"2019";4
"Vans";"Gas";"2016";394
"Vans";"Gas";"2017";437
"Vans";"Gas";"2018";460
"Vans";"Gas";"2019";484
"Vans";"Electricity";"2016";2568
"Vans";"Electricity";"2017";3478
"Vans";"Electricity";"2018";5314
"Vans";"Electricity";"2019";7336
"Vans";"Hydrogen";"2016";0
"Vans";"Hydrogen";"2017";1
"Vans";"Hydrogen";"2018";1
"Vans";"Hydrogen";"2019";1
"Vans";"Petrol hybrid, chargeable";"2016";0
"Vans";"Petrol hybrid, chargeable";"2017";11
"Vans";"Petrol hybrid, chargeable";"2018";30
"Vans";"Petrol hybrid, chargeable";"2019";39
"Vans";"Petrol hybrid, non-chargeable";"2016";55
"Vans";"Petrol hybrid, non-chargeable";"2017";57
"Vans";"Petrol hybrid, non-chargeable";"2018";59
"Vans";"Petrol hybrid, non-chargeable";"2019";57
"Vans";"Diesel hybrid, chargeable";"2016";0
"Vans";"Diesel hybrid, chargeable";"2017";0
"Vans";"Diesel hybrid, chargeable";"2018";0
"Vans";"Diesel hybrid, chargeable";"2019";0
"Vans";"Diesel hybrid, non-chargeable";"2016";0
"Vans";"Diesel hybrid, non-chargeable";"2017";0
"Vans";"Diesel hybrid, non-chargeable";"2018";1
"Vans";"Diesel hybrid, non-chargeable";"2019";24
"Vans";"Other fuel";"2016";2
"Vans";"Other fuel";"2017";3
"Vans";"Other fuel";"2018";2
"Vans";"Other fuel";"2019";2
"Combines vehicles";"Petrol";"2016";2828
"Combines vehicles";"Petrol";"2017";2296
"Combines vehicles";"Petrol";"2018";1969
"Combines vehicles";"Petrol";"2019";1741
"Combines vehicles";"Diesel";"2016";19857
"Combines vehicles";"Diesel";"2017";17322
"Combines vehicles";"Diesel";"2018";14942
"Combines vehicles";"Diesel";"2019";13085
"Combines vehicles";"Paraffin";"2016";0
"Combines vehicles";"Paraffin";"2017";0
"Combines vehicles";"Paraffin";"2018";0
"Combines vehicles";"Paraffin";"2019";0
"Combines vehicles";"Gas";"2016";3
"Combines vehicles";"Gas";"2017";2
"Combines vehicles";"Gas";"2018";2
"Combines vehicles";"Gas";"2019";2
"Combines vehicles";"Electricity";"2016";0
"Combines vehicles";"Electricity";"2017";0
"Combines vehicles";"Electricity";"2018";0
"Combines vehicles";"Electricity";"2019";0
"Combines vehicles";"Hydrogen";"2016";0
"Combines vehicles";"Hydrogen";"2017";0
"Combines vehicles";"Hydrogen";"2018";0
"Combines vehicles";"Hydrogen";"2019";0
"Combines vehicles";"Petrol hybrid, chargeable";"2016";0
"Combines vehicles";"Petrol hybrid, chargeable";"2017";0
"Combines vehicles";"Petrol hybrid, chargeable";"2018";0
"Combines vehicles";"Petrol hybrid, chargeable";"2019";0
"Combines vehicles";"Petrol hybrid, non-chargeable";"2016";5
"Combines vehicles";"Petrol hybrid, non-chargeable";"2017";4
"Combines vehicles";"Petrol hybrid, non-chargeable";"2018";3
"Combines vehicles";"Petrol hybrid, non-chargeable";"2019";2
"Combines vehicles";"Diesel hybrid, chargeable";"2016";0
"Combines vehicles";"Diesel hybrid, chargeable";"2017";0
"Combines vehicles";"Diesel hybrid, chargeable";"2018";0
"Combines vehicles";"Diesel hybrid, chargeable";"2019";0
"Combines vehicles";"Diesel hybrid, non-chargeable";"2016";0
"Combines vehicles";"Diesel hybrid, non-chargeable";"2017";0
"Combines vehicles";"Diesel hybrid, non-chargeable";"2018";0
"Combines vehicles";"Diesel hybrid, non-chargeable";"2019";0
"Combines vehicles";"Other fuel";"2016";0
"Combines vehicles";"Other fuel";"2017";0
"Combines vehicles";"Other fuel";"2018";0
"Combines vehicles";"Other fuel";"2019";0
"Lorries";"Petrol";"2016";3420
"Lorries";"Petrol";"2017";3037
"Lorries";"Petrol";"2018";2689
"Lorries";"Petrol";"2019";2479
"Lorries";"Diesel";"2016";71476
"Lorries";"Diesel";"2017";70375
"Lorries";"Diesel";"2018";69297
"Lorries";"Diesel";"2019";69036
"Lorries";"Paraffin";"2016";20
"Lorries";"Paraffin";"2017";22
"Lorries";"Paraffin";"2018";20
"Lorries";"Paraffin";"2019";24
"Lorries";"Gas";"2016";253
"Lorries";"Gas";"2017";304
"Lorries";"Gas";"2018";319
"Lorries";"Gas";"2019";443
"Lorries";"Electricity";"2016";2
"Lorries";"Electricity";"2017";1
"Lorries";"Electricity";"2018";13
"Lorries";"Electricity";"2019";21
"Lorries";"Hydrogen";"2016";0
"Lorries";"Hydrogen";"2017";0
"Lorries";"Hydrogen";"2018";0
"Lorries";"Hydrogen";"2019";1
"Lorries";"Petrol hybrid, chargeable";"2016";0
"Lorries";"Petrol hybrid, chargeable";"2017";0
"Lorries";"Petrol hybrid, chargeable";"2018";0
"Lorries";"Petrol hybrid, chargeable";"2019";0
"Lorries";"Petrol hybrid, non-chargeable";"2016";0
"Lorries";"Petrol hybrid, non-chargeable";"2017";1
"Lorries";"Petrol hybrid, non-chargeable";"2018";1
"Lorries";"Petrol hybrid, non-chargeable";"2019";1
"Lorries";"Diesel hybrid, chargeable";"2016";2
"Lorries";"Diesel hybrid, chargeable";"2017";2
"Lorries";"Diesel hybrid, chargeable";"2018";2
"Lorries";"Diesel hybrid, chargeable";"2019";2
"Lorries";"Diesel hybrid, non-chargeable";"2016";14
"Lorries";"Diesel hybrid, non-chargeable";"2017";16
"Lorries";"Diesel hybrid, non-chargeable";"2018";18
"Lorries";"Diesel hybrid, non-chargeable";"2019";18
"Lorries";"Other fuel";"2016";51
"Lorries";"Other fuel";"2017";50
"Lorries";"Other fuel";"2018";46
"Lorries";"Other fuel";"2019";53
"Mopeds";"Petrol";"2016";175459
"Mopeds";"Petrol";"2017";168959
"Mopeds";"Petrol";"2018";160373
"Mopeds";"Petrol";"2019";155550
"Mopeds";"Diesel";"2016";1781
"Mopeds";"Diesel";"2017";1745
"Mopeds";"Diesel";"2018";1678
"Mopeds";"Diesel";"2019";1825
"Mopeds";"Paraffin";"2016";0
"Mopeds";"Paraffin";"2017";0
"Mopeds";"Paraffin";"2018";0
"Mopeds";"Paraffin";"2019";0
"Mopeds";"Gas";"2016";0
"Mopeds";"Gas";"2017";0
"Mopeds";"Gas";"2018";0
"Mopeds";"Gas";"2019";0
"Mopeds";"Electricity";"2016";1142
"Mopeds";"Electricity";"2017";1294
"Mopeds";"Electricity";"2018";1385
"Mopeds";"Electricity";"2019";1898
"Mopeds";"Hydrogen";"2016";0
"Mopeds";"Hydrogen";"2017";0
"Mopeds";"Hydrogen";"2018";0
"Mopeds";"Hydrogen";"2019";0
"Mopeds";"Petrol hybrid, chargeable";"2016";0
"Mopeds";"Petrol hybrid, chargeable";"2017";0
"Mopeds";"Petrol hybrid, chargeable";"2018";0
"Mopeds";"Petrol hybrid, chargeable";"2019";0
"Mopeds";"Petrol hybrid, non-chargeable";"2016";0
"Mopeds";"Petrol hybrid, non-chargeable";"2017";0
"Mopeds";"Petrol hybrid, non-chargeable";"2018";0
"Mopeds";"Petrol hybrid, non-chargeable";"2019";0
"Mopeds";"Diesel hybrid, chargeable";"2016";0
"Mopeds";"Diesel hybrid, chargeable";"2017";0
"Mopeds";"Diesel hybrid, chargeable";"2018";0
"Mopeds";"Diesel hybrid, chargeable";"2019";0
"Mopeds";"Diesel hybrid, non-chargeable";"2016";0
"Mopeds";"Diesel hybrid, non-chargeable";"2017";0
"Mopeds";"Diesel hybrid, non-chargeable";"2018";0
"Mopeds";"Diesel hybrid, non-chargeable";"2019";0
"Mopeds";"Other fuel";"2016";0
"Mopeds";"Other fuel";"2017";0
"Mopeds";"Other fuel";"2018";0
